"target_id"	"name"	"pathway"	"log2FoldChange"	"padj"
"Solyc01g067890"	"DXS"	"MEP"	-0.101464306402334	0.999925131801308
"Solyc11g010850"	"DXS"	"MEP"	0.867152922775303	0.999925131801308
"Solyc08g066950"	"DXS"	"MEP"	0.0203310392099857	0.999925131801308
"Solyc03g114340"	"DXR"	"MEP"	1.13987956868486	0.999925131801308
"Solyc01g102820"	"MCT"	"MEP"	1.19130600627811	0.999925131801308
"Solyc01g009010"	"CMK"	"MEP"	0.780376630598912	0.999925131801308
"Solyc08g081570"	"MDS"	"MEP"	0.870164406313702	0.999925131801308
"Solyc11g069380"	"HDS"	"MEP"	0.871296849348967	0.999925131801308
"Solyc01g109300"	"HDR"	"MEP"	1.32754068796998	0.999925131801308
"Solyc04g056390"	"IDI1"	"MEP"	2.10691149392051	0.985723525601439
"Solyc05g055760"	"IDI2"	"MVA"	0.473278805646225	0.999925131801308
"Solyc04g015100"	"AACT"	"MVA"	0.944253891632992	0.999925131801308
"Solyc05g017760"	"AACT"	"MVA"	0.568664081569615	0.999925131801308
"Solyc07g045350"	"AACT"	"MVA"	0.88893848999721	0.999925131801308
"Solyc08g007790"	"HMGS"	"MVA"	0.0656606393027512	0.999925131801308
"Solyc08g080160"	"HMGS"	"MVA"	NA	NA
"Solyc08g080170"	"HMGS"	"MVA"	0.655132659567251	0.999925131801308
"Solyc12g056450"	"HMGS"	"MVA"	0.315810334378199	0.999925131801308
"Solyc02g038740"	"HMGR"	"MVA"	0.28494201712666	0.999925131801308
"Solyc02g082260"	"HMGR"	"MVA"	-0.542599265931935	0.999925131801308
"Solyc03g032010"	"HMGR"	"MVA"	NA	NA
"Solyc03g032020"	"HMGR"	"MVA"	-0.11820319343934	0.999925131801308
"Solyc01g098840"	"MVK"	"MVA"	0.844944844334679	0.999925131801308
"Solyc08g076140"	"pMVK"	"MVA"	0.0553124054055699	0.999925131801308
"Solyc06g066310"	"pMVK"	"MVA"	0.966724634471315	0.999925131801308
"Solyc04g009650"	"MDC"	"MVA"	0.36407419905106	0.999925131801308
"Solyc11g007020"	"MDC"	"MVA"	0.689137636499856	0.999925131801308
"Solyc08g075390"	"Nudix"	"MVA"	0.250712486810546	0.999925131801308
"Solyc04g005520"	"IPK"	"MVA"	0.558353177590339	0.999925131801308
