"","n_targets","n_bootstraps","n_processed","n_pseudoaligned","n_unique","p_pseudoaligned","p_unique","kallisto_version","index_version","start_time","call","sample"
"1",34075,100,47839301,43861023,43085770,91.7,90.1,"0.44.0",10,"Wed Mar 17 12:20:47 2021","kallisto quant -i temp/index/kallisto_index.kidx -o results/kallisto/Elite_2017/ -b 100 --threads 10 temp/Elite_2017_R1_trimmed.fq.gz temp/Elite_2017_R2_trimmed.fq.gz","Elite_2017"
"2",34075,100,19927428,16449300,15939731,82.5,80,"0.44.0",10,"Wed Mar 17 12:22:05 2021","kallisto quant -i temp/index/kallisto_index.kidx -o results/kallisto/Elite_2021/ --single -l 90 -s 30 -b 100 --threads 10 temp/Elite_2021_R1_trimmed.fq.gz","Elite_2021"
"3",34075,100,25763854,22315511,22086331,86.6,85.7,"0.44.0",10,"Wed Mar 17 12:22:05 2021","kallisto quant -i temp/index/kallisto_index.kidx -o results/kallisto/F2-127/ -b 100 --threads 10 temp/F2-127_R1_trimmed.fq.gz temp/F2-127_R2_trimmed.fq.gz","F2-127"
"4",34075,100,23387126,20474496,19872926,87.5,85,"0.44.0",10,"Wed Mar 17 12:22:05 2021","kallisto quant -i temp/index/kallisto_index.kidx -o results/kallisto/F2-151/ -b 100 --threads 10 temp/F2-151_R1_trimmed.fq.gz temp/F2-151_R2_trimmed.fq.gz","F2-151"
"5",34075,100,83670152,57901546,55706238,69.2,66.6,"0.44.0",10,"Wed Mar 17 12:25:03 2021","kallisto quant -i temp/index/kallisto_index.kidx -o results/kallisto/F2-28/ --single -l 90 -s 30 -b 100 --threads 10 temp/F2-28_R1_trimmed.fq.gz","F2-28"
"6",34075,100,19930239,13252944,12811696,66.5,64.3,"0.44.0",10,"Wed Mar 17 12:22:05 2021","kallisto quant -i temp/index/kallisto_index.kidx -o results/kallisto/F2-28_1/ --single -l 90 -s 30 -b 100 --threads 10 temp/F2-28_1_R1_trimmed.fq.gz","F2-28_1"
"7",34075,100,19921060,14887080,14309351,74.7,71.8,"0.44.0",10,"Wed Mar 17 12:22:05 2021","kallisto quant -i temp/index/kallisto_index.kidx -o results/kallisto/F2-28_2/ --single -l 90 -s 30 -b 100 --threads 10 temp/F2-28_2_R1_trimmed.fq.gz","F2-28_2"
"8",34075,100,21591448,13292442,12777441,61.6,59.2,"0.44.0",10,"Wed Mar 17 12:22:05 2021","kallisto quant -i temp/index/kallisto_index.kidx -o results/kallisto/F2-28_3/ --single -l 90 -s 30 -b 100 --threads 10 temp/F2-28_3_R1_trimmed.fq.gz","F2-28_3"
"9",34075,100,20954998,16468452,15807107,78.6,75.4,"0.44.0",10,"Wed Mar 17 12:22:05 2021","kallisto quant -i temp/index/kallisto_index.kidx -o results/kallisto/F2-28_4/ --single -l 90 -s 30 -b 100 --threads 10 temp/F2-28_4_R1_trimmed.fq.gz","F2-28_4"
"10",34075,100,29535331,25972873,25559982,87.9,86.5,"0.44.0",10,"Wed Mar 17 12:20:47 2021","kallisto quant -i temp/index/kallisto_index.kidx -o results/kallisto/F2-411/ -b 100 --threads 10 temp/F2-411_R1_trimmed.fq.gz temp/F2-411_R2_trimmed.fq.gz","F2-411"
"11",34075,100,27980463,24514301,24165926,87.6,86.4,"0.44.0",10,"Wed Mar 17 12:20:47 2021","kallisto quant -i temp/index/kallisto_index.kidx -o results/kallisto/F2-445/ -b 100 --threads 10 temp/F2-445_R1_trimmed.fq.gz temp/F2-445_R2_trimmed.fq.gz","F2-445"
"12",34075,100,28190078,24914196,24645285,88.4,87.4,"0.44.0",10,"Wed Mar 17 12:20:47 2021","kallisto quant -i temp/index/kallisto_index.kidx -o results/kallisto/F2-73/ -b 100 --threads 10 temp/F2-73_R1_trimmed.fq.gz temp/F2-73_R2_trimmed.fq.gz","F2-73"
"13",34075,100,48627207,41552140,40707092,85.5,83.7,"0.44.0",10,"Wed Mar 17 12:20:47 2021","kallisto quant -i temp/index/kallisto_index.kidx -o results/kallisto/PI127826_2017/ -b 100 --threads 10 temp/PI127826_2017_R1_trimmed.fq.gz temp/PI127826_2017_R2_trimmed.fq.gz","PI127826_2017"
"14",34075,100,18848760,13323568,12889954,70.7,68.4,"0.44.0",10,"Wed Mar 17 12:22:05 2021","kallisto quant -i temp/index/kallisto_index.kidx -o results/kallisto/PI127826_2021/ --single -l 90 -s 30 -b 100 --threads 10 temp/PI127826_2021_R1_trimmed.fq.gz","PI127826_2021"
"15",34075,100,32277727,28364133,27987404,87.9,86.7,"0.44.0",10,"Wed Mar 17 12:20:47 2021","kallisto quant -i temp/index/kallisto_index.kidx -o results/kallisto/PI127826_F1/ -b 100 --threads 10 temp/PI127826_F1_R1_trimmed.fq.gz temp/PI127826_F1_R2_trimmed.fq.gz","PI127826_F1"
